"","year","conflict_id","conflict_active","start_year","conflictep_id","termination_year","conflictepisode","outcome","location","incompatibility","peace","peace_ends","peace_duration","country","Tonnage_mt_Combined","Tonnage_mt_emergency","Tonnage_mt_development","Value_Combined","Value_emergency","Value_development","commodities_Combined","commodities_emergency","commodities_development","partners_Combined","partners_emergency","partners_development","Value","Tonnage_mt","binary_emergency","n","frac_emergency","sum_tonnage_emergency","instrument_emergency","Value_t1","Tonnage_mt_t1","t1_commodities","sum_tonnage_t1","wheat_binary","n_partners_emergency","n_partners_development","inflation_adjustment","decisive","lootable","treaty","identity","conflict_duration","episode_deaths","factions","current_polity","democracy","initial_polity","initial_democracy","mortality","initial_mortality","peace_agreement","govt_military","rugged_terrain","p5_colony","p5_contiguous"
"1",1996,205,1,1996,20506,1996,6,5,"Iran",1,0,0,0,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,824.79,0,0,0,NA,469.945,0,0,0,1.60080061626733,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,35.3,35.3,0,868,173.490234375,FALSE,FALSE
"2",1997,205,0,1996,20506,1996,6,5,"Iran",1,1,1,1,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,781.36,0,0,0,NA,732.08,0,0,0,1.56423558116597,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,34,35.3,0,868,173.490234375,FALSE,FALSE
"3",1998,205,0,1996,20506,1996,6,5,"Iran",1,1,0,2,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,901.75,0,0,0,NA,1015.77,0,0,0,1.54040539849701,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,32.6,35.3,0,868,173.490234375,FALSE,FALSE
"4",1999,205,0,1996,20506,1996,6,5,"Iran",1,1,1,3,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,669.386,0,0,0,NA,1908.5,0,0,0,1.50734717358679,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,31.2,35.3,0,868,173.490234375,FALSE,FALSE
"5",2000,205,0,1996,20506,1996,6,5,"Iran",1,1,1,4,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,901.63,0,0,0,NA,354.595,0,0,0,1.45825243188308,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,29.7,35.3,0,868,173.490234375,FALSE,FALSE
"6",2001,205,0,1996,20506,1996,6,5,"Iran",1,1,1,5,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,646.64,0,0,0,NA,646,0,0,0,1.41830407154625,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,28.2,35.3,0,868,173.490234375,FALSE,FALSE
"7",2002,205,0,1996,20506,1996,6,5,"Iran",1,1,1,6,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,895.42,0,0,0,NA,445.67,0,0,0,1.39602807635285,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,26.7,35.3,0,868,173.490234375,FALSE,FALSE
"8",2003,205,0,1996,20506,1996,6,5,"Iran",1,1,1,7,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1910.9,0,0,0,NA,573.47,0,0,0,1.36466802536232,FALSE,1,FALSE,TRUE,1,27,1,3,FALSE,-6,FALSE,25.1,35.3,0,868,173.490234375,FALSE,FALSE
"9",2004,205,0,1996,20506,1996,6,5,"Iran",1,1,1,8,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1666.82,0,0,0,NA,229.3,0,0,0,1.32921037540253,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,23.6,35.3,0,868,173.490234375,FALSE,FALSE
"10",2005,205,0,1996,20506,1996,6,5,"Iran",1,1,1,9,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1811.27,0,0,0,NA,65.186,0,0,0,1.28592821782178,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,22.2,35.3,0,868,173.490234375,FALSE,FALSE
"11",2006,205,0,1996,20506,1996,6,5,"Iran",1,1,1,10,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1426.2,0,0,0,NA,212.35,0,0,0,1.24578781990325,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,20.9,35.3,0,868,173.490234375,FALSE,FALSE
"12",2007,205,0,1996,20506,1996,6,5,"Iran",1,1,1,11,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1357.239,0,0,0,NA,23.21,0,0,0,1.21102474549159,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,19.7,35.3,0,868,173.490234375,FALSE,FALSE
"13",2008,205,0,1996,20506,1996,6,5,"Iran",1,1,1,12,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1964.83,0,0,0,NA,10.48,0,0,0,1.1665224573576,FALSE,1,FALSE,TRUE,1,27,1,-6,FALSE,-6,FALSE,18.5,35.3,0,868,173.490234375,FALSE,FALSE
"14",2009,205,0,1996,20506,1996,6,5,"Iran",1,1,1,13,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1919.76,0,0,0,NA,14.3,0,0,0,1.17027151099746,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,17.4,35.3,0,868,173.490234375,FALSE,FALSE
"15",2010,205,0,1996,20506,1996,6,5,"Iran",1,1,1,14,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1650.48,0,0,0,NA,40.68,0,0,0,1.15142759754428,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,16.5,35.3,0,868,173.490234375,FALSE,FALSE
"16",2011,205,0,1996,20506,1996,6,5,"Iran",1,1,1,15,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1033.35,0,0,0,NA,50,0,0,0,1.11637723428314,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,15.7,35.3,0,868,173.490234375,FALSE,FALSE
"17",2012,205,0,1996,20506,1996,6,5,"Iran",1,1,1,16,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,988.337,0,0,0,NA,0,0,0,0,1.09370268886071,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,15,35.3,0,868,173.490234375,FALSE,FALSE
"18",2013,205,0,1996,20506,1996,6,5,"Iran",1,1,1,17,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,856.87,0,0,0,NA,0,0,0,0,1.07790096733193,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,14.4,35.3,0,868,173.490234375,FALSE,FALSE
"19",2014,205,0,1996,20506,1996,6,5,"Iran",1,1,1,18,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,821.2529,0,0,0,NA,0,0,0,0,1.06076470298319,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,13.8,35.3,0,868,173.490234375,FALSE,FALSE
"20",2015,205,0,1996,20506,1996,6,5,"Iran",1,1,1,19,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,711.16,0,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,TRUE,1,27,1,-7,FALSE,-6,FALSE,13.3,35.3,0,868,173.490234375,FALSE,FALSE
"21",2016,205,1,2016,20507,2016,7,5,"Iran",1,0,1,0,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1388.714,0,0,0,NA,0,0,0,0,1.04622187346466,FALSE,1,FALSE,TRUE,1,30,1,-7,FALSE,-7,FALSE,12.8,12.8,0,563,173.490234375,FALSE,FALSE
"22",2017,205,0,2016,20507,2016,7,5,"Iran",1,1,1,1,"Iran",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0,1129.763,0,0,0,NA,0,0,0,0,1.02438761536819,FALSE,1,FALSE,TRUE,1,30,1,-7,FALSE,-7,FALSE,12.4,12.8,0,563,173.490234375,FALSE,FALSE
"23",1995,209,1,1969,20902,1995,2,2,"Philippines",2,0,1,0,"Philippines",NA,0,46.34,NA,0,25073720.7949425,NA,NA,"bulgur,peas,soybeanmeal,bulgur,csb,soybeanmeal",NA,NA,"CARE,CR5",25073720.7949425,46.34,0,29,0.172413793103448,1075.435,185.419827586207,0,0,NA,500.7,0,0,2,1.64781089357979,FALSE,0,FALSE,FALSE,29,4135,1,8,TRUE,8,TRUE,32.4,32.4,1,150,225.361389160156,FALSE,FALSE
"24",1995,209,1,1969,20902,1995,2,2,"Philippines",2,0,1,0,"Philippines",NA,0,46.34,NA,0,25073720.7949425,NA,NA,"bulgur,peas,soybeanmeal,bulgur,csb,soybeanmeal",NA,NA,"CARE,CR5",25073720.7949425,46.34,0,29,0.172413793103448,1075.435,185.419827586207,0,0,NA,500.7,0,0,2,1.64781089357979,FALSE,0,FALSE,FALSE,29,4135,2,8,TRUE,8,TRUE,32.4,32.4,1,150,225.361389160156,FALSE,FALSE
"25",1996,209,0,1969,20902,1995,2,2,"Philippines",2,1,0,1,"Philippines",NA,0,9.56,NA,0,6480200.97471179,NA,NA,"beans,bulgur,peas,bulgur,csb",NA,NA,"CARE,CRS",6480200.97471179,9.56,0,29,0.172413793103448,824.79,142.205172413793,24011529.0038251,34.259,"rice",469.945,0,0,2,1.60080061626733,FALSE,0,FALSE,FALSE,29,4135,1,8,TRUE,8,TRUE,31.4,32.4,1,150,225.361389160156,FALSE,FALSE
"26",1996,209,0,1969,20902,1995,2,2,"Philippines",2,1,0,1,"Philippines",NA,0,9.56,NA,0,6480200.97471179,NA,NA,"beans,bulgur,peas,bulgur,csb",NA,NA,"CARE,CRS",6480200.97471179,9.56,0,29,0.172413793103448,824.79,142.205172413793,24011529.0038251,34.259,"rice",469.945,0,0,2,1.60080061626733,FALSE,0,FALSE,FALSE,29,4135,2,8,TRUE,8,TRUE,31.4,32.4,1,150,225.361389160156,FALSE,FALSE
"27",1997,209,1,1997,20903,1997,3,2,"Philippines",2,0,1,0,"Philippines",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,781.36,134.71724137931,0,0,NA,732.08,0,0,0,1.56423558116597,FALSE,0,FALSE,FALSE,1,32,1,8,TRUE,8,TRUE,30.5,30.5,0,160.3,225.361389160156,FALSE,FALSE
"28",1997,209,1,1997,20903,1997,3,2,"Philippines",2,0,1,0,"Philippines",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,781.36,134.71724137931,0,0,NA,732.08,0,0,0,1.56423558116597,FALSE,0,FALSE,FALSE,1,32,2,8,TRUE,8,TRUE,30.5,30.5,0,160.3,225.361389160156,FALSE,FALSE
"29",1998,209,0,1997,20903,1997,3,2,"Philippines",2,1,1,1,"Philippines",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,901.75,155.474137931035,15404038.5809161,62.97,"soybean meal ",1015.77,0,0,0,1.54040539849701,FALSE,0,FALSE,FALSE,1,32,1,8,TRUE,8,TRUE,29.8,30.5,0,160.3,225.361389160156,FALSE,FALSE
"30",1998,209,0,1997,20903,1997,3,2,"Philippines",2,1,1,1,"Philippines",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.172413793103448,901.75,155.474137931035,15404038.5809161,62.97,"soybean meal ",1015.77,0,0,0,1.54040539849701,FALSE,0,FALSE,FALSE,1,32,2,8,TRUE,8,TRUE,29.8,30.5,0,160.3,225.361389160156,FALSE,FALSE
"31",1995,221,1,1994,22102,1995,2,5,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1075.435,148.335862068965,0,0,NA,500.7,0,0,0,1.64781089357979,FALSE,1,FALSE,TRUE,2,135,1,-5,FALSE,-5,FALSE,73.3,73.3,0,406.3,226.941284179688,TRUE,TRUE
"32",1995,221,1,1994,22102,1995,2,5,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1075.435,148.335862068965,0,0,NA,500.7,0,0,0,1.64781089357979,FALSE,1,FALSE,TRUE,2,135,2,-5,FALSE,-5,FALSE,73.3,73.3,0,406.3,226.941284179688,TRUE,TRUE
"33",1996,221,0,1994,22102,1995,2,5,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,824.79,113.764137931034,0,0,NA,469.945,0,0,0,1.60080061626733,FALSE,1,FALSE,TRUE,2,135,1,-5,FALSE,-5,FALSE,71.6,73.3,0,406.3,226.941284179688,TRUE,TRUE
"34",1996,221,0,1994,22102,1995,2,5,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,824.79,113.764137931034,0,0,NA,469.945,0,0,0,1.60080061626733,FALSE,1,FALSE,TRUE,2,135,2,-5,FALSE,-5,FALSE,71.6,73.3,0,406.3,226.941284179688,TRUE,TRUE
"35",1998,221,1,1997,22103,1998,3,5,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.75,124.379310344828,0,0,NA,1015.77,0,0,0,1.54040539849701,FALSE,1,FALSE,TRUE,2,77,1,-5,FALSE,-5,FALSE,68.4,68.4,0,434.85,226.941284179688,TRUE,TRUE
"36",1998,221,1,1997,22103,1998,3,5,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.75,124.379310344828,0,0,NA,1015.77,0,0,0,1.54040539849701,FALSE,1,FALSE,TRUE,2,77,2,-5,FALSE,-5,FALSE,68.4,68.4,0,434.85,226.941284179688,TRUE,TRUE
"37",1999,221,0,1997,22103,1998,3,5,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,669.386,92.3291034482759,0,0,NA,1908.5,0,0,0,1.50734717358679,FALSE,1,FALSE,TRUE,2,77,1,-5,FALSE,-5,FALSE,66.9,68.4,0,434.85,226.941284179688,TRUE,TRUE
"38",1999,221,0,1997,22103,1998,3,5,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,669.386,92.3291034482759,0,0,NA,1908.5,0,0,0,1.50734717358679,FALSE,1,FALSE,TRUE,2,77,2,-5,FALSE,-5,FALSE,66.9,68.4,0,434.85,226.941284179688,TRUE,TRUE
"39",2011,221,1,2000,22104,2011,4,2,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1033.35,142.531034482759,0,0,NA,50,0,0,0,1.11637723428314,FALSE,1,FALSE,TRUE,15,1121,1,-3,FALSE,-3,FALSE,47,47,1,513.25,226.941284179688,TRUE,TRUE
"40",2011,221,1,2000,22104,2011,4,2,"Myanmar (Burma)",1,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1033.35,142.531034482759,0,0,NA,50,0,0,0,1.11637723428314,FALSE,1,FALSE,TRUE,15,1121,2,-3,FALSE,-3,FALSE,47,47,1,513.25,226.941284179688,TRUE,TRUE
"41",2012,221,0,2000,22104,2011,4,2,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,988.337,136.322344827586,0,0,NA,0,0,0,0,1.09370268886071,FALSE,1,FALSE,TRUE,15,1121,1,-3,FALSE,-3,FALSE,45.4,47,1,513.25,226.941284179688,TRUE,TRUE
"42",2012,221,0,2000,22104,2011,4,2,"Myanmar (Burma)",1,1,0,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,988.337,136.322344827586,0,0,NA,0,0,0,0,1.09370268886071,FALSE,1,FALSE,TRUE,15,1121,2,-3,FALSE,-3,FALSE,45.4,47,1,513.25,226.941284179688,TRUE,TRUE
"43",2013,221,1,2013,22105,2013,5,5,"Myanmar (Burma)",1,0,1,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,856.87,118.188965517241,0,0,NA,0,0,0,0,1.07790096733193,FALSE,1,FALSE,TRUE,1,41,1,-3,FALSE,-3,FALSE,43.8,43.8,0,513.25,226.941284179688,TRUE,TRUE
"44",2013,221,1,2013,22105,2013,5,5,"Myanmar (Burma)",1,0,1,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,856.87,118.188965517241,0,0,NA,0,0,0,0,1.07790096733193,FALSE,1,FALSE,TRUE,1,41,2,-3,FALSE,-3,FALSE,43.8,43.8,0,513.25,226.941284179688,TRUE,TRUE
"45",2014,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,821.2529,113.276262068966,0,0,NA,0,0,0,0,1.06076470298319,FALSE,1,FALSE,TRUE,1,41,1,-3,FALSE,-3,FALSE,42.3,43.8,0,513.25,226.941284179688,TRUE,TRUE
"46",2014,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,821.2529,113.276262068966,0,0,NA,0,0,0,0,1.06076470298319,FALSE,1,FALSE,TRUE,1,41,2,-3,FALSE,-3,FALSE,42.3,43.8,0,513.25,226.941284179688,TRUE,TRUE
"47",2015,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,2,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,711.16,98.0910344827586,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,TRUE,1,41,1,-88,FALSE,-3,FALSE,41,43.8,0,513.25,226.941284179688,TRUE,TRUE
"48",2015,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,2,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,711.16,98.0910344827586,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,TRUE,1,41,2,-88,FALSE,-3,FALSE,41,43.8,0,513.25,226.941284179688,TRUE,TRUE
"49",2016,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,0,3,"Myanmar (Burma)",NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,FALSE,1,FALSE,TRUE,1,41,1,8,TRUE,-3,FALSE,39.7,43.8,0,513.25,226.941284179688,TRUE,TRUE
"50",2016,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,0,3,"Myanmar (Burma)",NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,FALSE,1,FALSE,TRUE,1,41,2,8,TRUE,-3,FALSE,39.7,43.8,0,513.25,226.941284179688,TRUE,TRUE
"51",2017,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,4,"Myanmar (Burma)",NA,0.2,0,NA,1322484.41144034,0,NA,"na",NA,NA,"UNICEF",NA,1322484.41144034,0.2,1,29,0.137931034482759,1129.763,155.829379310345,0,0,NA,0,0,1,0,1.02438761536819,FALSE,1,FALSE,TRUE,1,41,1,8,TRUE,-3,FALSE,38.5,43.8,0,513.25,226.941284179688,TRUE,TRUE
"52",2017,221,0,2013,22105,2013,5,5,"Myanmar (Burma)",1,1,1,4,"Myanmar (Burma)",NA,0.2,0,NA,1322484.41144034,0,NA,"na",NA,NA,"UNICEF",NA,1322484.41144034,0.2,1,29,0.137931034482759,1129.763,155.829379310345,0,0,NA,0,0,1,0,1.02438761536819,FALSE,1,FALSE,TRUE,1,41,2,8,TRUE,-3,FALSE,38.5,43.8,0,513.25,226.941284179688,TRUE,TRUE
"53",2015,222,1,2013,22204,2015,4,5,"Myanmar (Burma)",2,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,711.16,98.0910344827586,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,FALSE,3,172,3,-88,FALSE,-88,FALSE,41,41,0,513.25,226.941284179688,TRUE,TRUE
"54",2015,222,1,2013,22204,2015,4,5,"Myanmar (Burma)",2,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,711.16,98.0910344827586,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,FALSE,3,172,2,-88,FALSE,-88,FALSE,41,41,0,513.25,226.941284179688,TRUE,TRUE
"55",2015,222,1,2013,22204,2015,4,5,"Myanmar (Burma)",2,0,0,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,711.16,98.0910344827586,0,0,NA,0,0,0,0,1.05948127668537,FALSE,1,FALSE,FALSE,3,172,1,-88,FALSE,-88,FALSE,41,41,0,513.25,226.941284179688,TRUE,TRUE
"56",2016,222,0,2013,22204,2015,4,5,"Myanmar (Burma)",2,1,1,1,"Myanmar (Burma)",NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,FALSE,1,FALSE,FALSE,3,172,3,8,TRUE,-88,FALSE,39.7,41,0,513.25,226.941284179688,TRUE,TRUE
"57",2016,222,0,2013,22204,2015,4,5,"Myanmar (Burma)",2,1,1,1,"Myanmar (Burma)",NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,FALSE,1,FALSE,FALSE,3,172,2,8,TRUE,-88,FALSE,39.7,41,0,513.25,226.941284179688,TRUE,TRUE
"58",2016,222,0,2013,22204,2015,4,5,"Myanmar (Burma)",2,1,1,1,"Myanmar (Burma)",NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,FALSE,1,FALSE,FALSE,3,172,1,8,TRUE,-88,FALSE,39.7,41,0,513.25,226.941284179688,TRUE,TRUE
"59",1996,224,1,1996,22403,1996,3,3,"Myanmar (Burma)",1,0,1,0,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,824.79,113.764137931034,0,0,NA,469.945,0,0,0,1.60080061626733,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,71.6,71.6,0,595,226.941284179688,TRUE,TRUE
"60",1997,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,1,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,781.36,107.773793103448,0,0,NA,732.08,0,0,0,1.56423558116597,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,70,71.6,0,595,226.941284179688,TRUE,TRUE
"61",1998,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,2,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.75,124.379310344828,0,0,NA,1015.77,0,0,0,1.54040539849701,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,68.4,71.6,0,595,226.941284179688,TRUE,TRUE
"62",1999,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,3,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,669.386,92.3291034482759,0,0,NA,1908.5,0,0,0,1.50734717358679,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,66.9,71.6,0,595,226.941284179688,TRUE,TRUE
"63",2000,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,4,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,901.63,124.36275862069,0,0,NA,354.595,0,0,0,1.45825243188308,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,65.4,71.6,0,595,226.941284179688,TRUE,TRUE
"64",2001,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,5,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,646.64,89.191724137931,0,0,NA,646,0,0,0,1.41830407154625,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,63.8,71.6,0,595,226.941284179688,TRUE,TRUE
"65",2002,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,6,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,895.42,123.506206896552,0,0,NA,445.67,0,0,0,1.39602807635285,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,62.3,71.6,0,595,226.941284179688,TRUE,TRUE
"66",2003,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,7,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1910.9,263.572413793103,0,0,NA,573.47,0,0,0,1.36466802536232,TRUE,1,FALSE,TRUE,1,80,1,-5,FALSE,-5,FALSE,60.7,71.6,0,595,226.941284179688,TRUE,TRUE
"67",2004,224,0,1996,22403,1996,3,3,"Myanmar (Burma)",1,1,1,8,"Myanmar (Burma)",NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,1666.82,229.906206896552,0,0,NA,229.3,0,0,0,1.32921037540253,TRUE,1,FALSE,TRUE,1,80,1,-6,FALSE,-5,FALSE,59.1,71.6,0,595,226.941284179688,TRUE,TRUE
